2020-12-20,206
2020-12-27,1799
2021-01-03,3787
2021-01-10,4073
2021-01-17,3733
2021-01-24,772
2021-01-31,972
2021-02-07,4544
2021-02-14,5959
2021-02-21,6932
2021-02-28,8611
2021-03-07,11505
2021-03-14,11046
2021-03-21,12351
2021-03-28,14993
2021-04-04,15204
2021-04-11,19014
2021-04-18,29644
2021-04-25,27284
2021-05-02,22941
2021-05-09,20717
2021-05-16,25441
2021-05-23,30899
2021-05-30,34700
2021-06-06,38462
2021-06-13,39288
2021-06-20,51122
2021-06-27,56999
2021-07-04,56613
2021-07-11,51688
2021-07-18,32026
2021-07-25,21745
2021-08-01,15006
2021-08-08,15473
2021-08-15,11976
2021-08-22,10056
2021-08-29,11875
2021-09-05,8917
2021-09-12,9667
2021-09-19,12094
2021-09-26,8868
2021-10-03,7703
2021-10-10,5641
2021-10-17,5758
2021-10-24,5231
2021-10-31,5196
2021-11-07,5233
2021-11-14,5050
2021-11-21,7351
2021-11-28,16274
2021-12-05,17798
2021-12-12,30501
2021-12-19,38448
2021-12-26,31148
2022-01-02,35234
2022-01-09,38288
2022-01-16,28664
2022-01-23,21168
2022-01-30,13615
2022-02-06,7319
2022-02-13,5379
2022-02-20,5076
2022-02-27,3714
2022-03-06,2745
2022-03-13,2715
2022-03-20,2427
